year,keyword,date,value
2016,horse racing,2016-04-03,2
2016,social media,2016-02-07,3
2016,social media,2016-02-14,3
2016,social media,2016-02-21,3
2016,michelle obama,2016-07-24,6
2016,michelle obama,2016-07-17,5
2016,michelle obama,2016-10-09,3
2016,clinton email,2016-05-22,1
2016,clinton email,2016-06-05,1
2016,clinton email,2016-07-03,1
2016,clinton,2016-11-06,100
2016,clinton,2016-10-30,44
2016,clinton,2016-10-09,41
2016,isPartial.6,2015-12-27,False
2016,isPartial.6,2016-01-03,False
2016,isPartial.6,2016-01-10,False
2016,prince,2016-04-17,100
2016,prince,2016-04-24,36
2016,prince,2016-05-01,15
2016,sanders,2016-02-07,9
2016,sanders,2016-01-31,7
2016,sanders,2016-03-06,7
2016,persib,2016-03-20,2
2016,persib,2016-03-27,2
2016,persib,2016-04-03,2
2016,bernie sanders,2016-02-07,7
2016,bernie sanders,2016-01-31,6
2016,bernie sanders,2016-03-06,6
2016,tesla motors,2015-12-27,0
2016,tesla motors,2016-01-03,0
2016,tesla motors,2016-01-10,0
2016,isPartial.7,2015-12-27,False
2016,isPartial.7,2016-01-03,False
2016,isPartial.7,2016-01-10,False
2016,hillary clinton,2016-11-06,12
2016,hillary clinton,2016-07-24,4
2016,hillary clinton,2016-09-11,4
2016,pokemon,2016-07-10,100
2016,pokemon,2016-07-17,90
2016,pokemon,2016-07-31,68
2016,israel news,2015-12-27,0
2016,israel news,2016-01-03,0
2016,israel news,2016-01-10,0
2016,maria sharapova,2016-03-06,1
2016,maria sharapova,2015-12-27,0
2016,maria sharapova,2016-01-03,0
2016,black lives matter,2016-07-03,1
2016,black lives matter,2016-07-10,1
2016,black lives matter,2015-12-27,0
2016,isPartial.8,2015-12-27,False
2016,isPartial.8,2016-01-03,False
2016,isPartial.8,2016-01-10,False
2016,ibm,2016-01-17,36
2016,ibm,2016-01-31,36
2016,ibm,2016-02-21,36
2016,stephen curry,2016-06-12,57
2016,stephen curry,2016-02-28,51
2016,stephen curry,2016-06-05,49
2016,ted cruz,2016-05-01,100
2016,ted cruz,2016-01-31,81
2016,ted cruz,2016-03-20,78
2016,south china sea,2016-07-10,15
2016,south china sea,2016-07-17,5
2016,south china sea,2016-07-24,4
2016,marco rubio,2016-02-21,43
2016,marco rubio,2016-02-28,43
2016,marco rubio,2016-01-31,37
2016,isPartial.9,2015-12-27,False
2016,isPartial.9,2016-01-03,False
2016,isPartial.9,2016-01-10,False
2017,date,2017-12-31,2017-12-31 00:00:00
2017,date,2017-12-24,2017-12-24 00:00:00
2017,date,2017-12-17,2017-12-17 00:00:00
2017,hurricane irma,2017-09-03,50
2017,hurricane irma,2017-09-10,20
2017,hurricane irma,2017-08-27,3
2017,irma,2017-09-03,100
2017,irma,2017-09-10,53
2017,irma,2017-08-27,5
2017,hurricane harvey,2017-08-27,8
2017,hurricane harvey,2017-08-20,7
2017,hurricane harvey,2017-09-03,2
2017,sean spicer,2017-02-05,2
2017,sean spicer,2017-01-22,1
2017,sean spicer,2017-02-12,1
2017,betsy devos,2017-02-05,2
2017,betsy devos,2017-01-15,1
2017,betsy devos,2017-01-29,1
2017,chris cornell,2017-05-14,100
2017,chris cornell,2017-05-21,22
2017,chris cornell,2017-07-16,19
2017,trump impeachment,2017-05-14,5
2017,trump impeachment,2017-11-12,3
2017,trump impeachment,2017-01-29,2
2017,litecoin,2017-12-10,27
2017,litecoin,2017-12-17,15
2017,litecoin,2017-12-03,9
2017,nintendo switch,2017-02-26,39
2017,nintendo switch,2017-03-05,38
2017,nintendo switch,2017-12-24,28
2017,sessions,2017-06-11,12
2017,sessions,2017-02-26,10
2017,sessions,2017-01-08,9
2017,isPartial.1,2017-01-01,False
2017,isPartial.1,2017-01-08,False
2017,isPartial.1,2017-01-15,False
2017,michael t. flynn,2017-01-01,0
2017,michael t. flynn,2017-01-08,0
2017,michael t. flynn,2017-01-15,0
2017,iphone 8,2017-09-10,100
2017,iphone 8,2017-09-17,37
2017,iphone 8,2017-09-24,31
2017,daca,2017-09-03,33
2017,daca,2017-08-27,5
2017,daca,2017-09-10,5
2017,ethereum,2017-12-10,10
2017,ethereum,2017-12-17,9
2017,ethereum,2017-06-11,7
2017,h1b,2017-01-29,5
2017,h1b,2017-03-05,2
2017,h1b,2017-04-02,2
2017,isPartial.2,2017-01-01,False
2017,isPartial.2,2017-01-08,False
2017,isPartial.2,2017-01-15,False
2017,trump russia,2017-01-08,9
2017,trump russia,2017-05-14,6
2017,trump russia,2017-02-12,5
2017,carmelo anthony,2017-04-16,9
2017,carmelo anthony,2017-07-09,9
2017,carmelo anthony,2017-09-17,9
2017,meryl streep,2017-01-08,62
2017,meryl streep,2017-02-26,10
2017,meryl streep,2017-01-15,6
2017,kellyanne conway,2017-01-22,16
2017,kellyanne conway,2017-02-26,12
2017,kellyanne conway,2017-02-05,11
2017,north korea,2017-08-06,100
2017,north korea,2017-09-03,89
2017,north korea,2017-04-09,83
2017,isPartial.3,2017-01-01,False
2017,isPartial.3,2017-01-08,False
2017,isPartial.3,2017-01-15,False
