event_start,event_end,event_type,headline,category
2017-06-06,2017-06-06,crisis,news today,General / Breaking News
2017-06-07,2017-06-07,crisis,abc news,General / Breaking News
2017-06-07,2017-06-08,crisis,chris cornell,General / Breaking News
2017-06-07,2017-06-09,crisis,michael t. flynn,General / Breaking News
2017-06-08,2017-06-08,geopolitics,trump russia,Politics & Government
2017-06-08,2017-06-09,geopolitics,trump impeachment,Politics & Government
2017-06-09,2017-06-09,crisis,news today,General / Breaking News
2017-06-12,2017-06-12,crisis,chris cornell,General / Breaking News
2017-06-12,2017-06-14,crisis,sessions,General / Breaking News
2017-06-12,2017-06-14,crisis,nintendo,Technology & AI
2017-06-12,2017-06-12,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-06-12,2017-06-14,crisis,nintendo switch,Technology & AI
2017-06-13,2017-06-13,geopolitics,trump twitter,Politics & Government
2017-06-13,2017-06-13,crisis,news today,General / Breaking News
2017-06-15,2017-06-16,crisis,washington post,General / Breaking News
2017-06-15,2017-06-15,geopolitics,trump impeachment,Politics & Government
2017-06-16,2017-06-16,crisis,nintendo,Technology & AI
2017-06-16,2017-06-16,geopolitics,trump twitter,Politics & Government
2017-06-16,2017-06-16,crisis,amazon,General / Breaking News
2017-06-19,2017-06-19,crisis,celtics,General / Breaking News
2017-06-20,2017-06-21,crisis,chris cornell,General / Breaking News
2017-06-21,2017-06-22,crisis,toshiba,General / Breaking News
2017-06-22,2017-06-23,crisis,celtics,General / Breaking News
2017-06-23,2017-06-26,crisis,nintendo,Technology & AI
2017-06-23,2017-06-23,crisis,nintendo switch,Technology & AI
2017-06-27,2017-06-27,crisis,cnn news,General / Breaking News
2017-06-28,2017-06-28,macro,bitcoin,Crypto & Digital Assets
2017-06-28,2017-06-28,crisis,chris cornell,General / Breaking News
2017-06-28,2017-06-28,crisis,toshiba,General / Breaking News
2017-06-28,2017-06-29,crisis,carmelo anthony,General / Breaking News
2017-06-29,2017-06-30,geopolitics,melania trump,Politics & Government
2017-06-29,2017-06-29,crisis,miss universe,General / Breaking News
2017-06-30,2017-06-30,geopolitics,trump twitter,Politics & Government
2017-07-03,2017-07-03,geopolitics,trump impeachment,Politics & Government
2017-07-05,2017-07-05,crisis,celtics,General / Breaking News
2017-07-05,2017-07-05,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-07-05,2017-07-05,geopolitics,trump twitter,Politics & Government
2017-07-05,2017-07-05,crisis,korea,General / Breaking News
2017-07-06,2017-07-06,crisis,united airlines,Technology & AI
2017-07-07,2017-07-07,geopolitics,melania trump,Politics & Government
2017-07-07,2017-07-07,crisis,korea,General / Breaking News
2017-07-07,2017-07-07,geopolitics,trump russia,Politics & Government
2017-07-10,2017-07-21,crisis,miss universe,General / Breaking News
2017-07-10,2017-07-10,geopolitics,trump twitter,Politics & Government
2017-07-11,2017-07-11,crisis,iphone 8,Technology & AI
2017-07-11,2017-07-12,geopolitics,trump russia,Politics & Government
2017-07-12,2017-07-13,crisis,chris cornell,General / Breaking News
2017-07-12,2017-07-14,geopolitics,trump impeachment,Politics & Government
2017-07-13,2017-07-13,geopolitics,melania trump,Politics & Government
2017-07-14,2017-07-14,crisis,carmelo anthony,General / Breaking News
2017-07-17,2017-07-17,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
