datetime,coronavirus_intensity,covid_intensity,covid 19_intensity,stimulus_intensity,covid-19_intensity,stimulus check_intensity,coronavirus update_intensity,coronavirus cases_intensity,coronavirus news_intensity,corona virus_intensity,coronavirus us_intensity,coronavirus usa_intensity,florida coronavirus_intensity,california coronavirus_intensity,coronavirus florida_intensity,coronavirus california_intensity,coronavirus vaccine_intensity,coronavirus new york_intensity,george floyd_intensity,coronavirus china_intensity,covid vaccine_intensity,coronavirus nyc_intensity,coronavirus texas_intensity,nyc coronavirus_intensity,coronavirus trump_intensity,stimulus update_intensity,italy coronavirus_intensity,coronavirus italy_intensity,stimulus package_intensity,election results 2020_intensity,coronavirus ohio_intensity,coronavirus ny_intensity,coronavirus michigan_intensity,second stimulus check_intensity,coronavirus nj_intensity,coronavirus los angeles_intensity,trump covid_intensity,coronavirus india_intensity,coronavirus virginia_intensity,coronavirus cure_intensity,coronavirus colorado_intensity,coronavirus death toll_intensity,coronavirus symptoms_intensity,coronavirus massachusetts_intensity,corona_intensity,covid 19 vaccine_intensity,unemployment_intensity,hurricane laura_intensity,coronavirus pennsylvania_intensity,ryan newman_intensity
2020-01-30,1.9172,0.0,0.0,0.0449,0.0,0.0,0.0021,0.0789,0.0058,0.0534,0.0152,0.0,0.0002,0.0008,0.0008,0.0002,0.0066,0.0021,0.0,0.1661,0.0,0.0,0.0004,0.0,0.0226,0.0,0.0,0.0033,0.0012,0.0004,0.0004,0.0,0.0,0.0,0.0002,0.0006,0.0,0.0218,0.0002,0.0004,0.0,0.011,0.0332,0.0023,0.212,0.0,0.1912,0.0,0.0,0.0
2020-01-31,2.034,0.0,0.0,0.0531,0.0,0.0,0.0024,0.1422,0.0074,0.0402,0.0328,0.0,0.0002,0.0002,0.0002,0.0043,0.0076,0.003,0.0,0.1531,0.0,0.0002,0.0002,0.0,0.0078,0.0,0.0002,0.0017,0.0017,0.0002,0.0024,0.0,0.0004,0.0,0.0,0.0041,0.0,0.0059,0.0004,0.0002,0.0,0.0072,0.0233,0.002,0.0924,0.0,0.1892,0.0,0.0002,0.0
2020-02-01,1.6998,0.0,0.0,0.0439,0.0,0.0,0.0007,0.1006,0.0131,0.0204,0.0104,0.0,0.0,0.001,0.0003,0.0252,0.0062,0.0028,0.0,0.0996,0.0,0.001,0.0,0.0,0.0021,0.0,0.0007,0.0003,0.001,0.0,0.0014,0.0,0.0003,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0042,0.0128,0.0221,0.056,0.0,0.1297,0.0,0.0,0.0024
2020-02-02,1.5849,0.0,0.0,0.0387,0.0,0.0,0.0022,0.0917,0.0084,0.0303,0.0055,0.0,0.0,0.0004,0.0,0.0208,0.0033,0.008,0.0,0.1143,0.0,0.0007,0.0,0.0004,0.019,0.0,0.0004,0.0004,0.0015,0.0,0.0007,0.0,0.0004,0.0,0.0,0.0004,0.0,0.0018,0.0,0.0,0.0,0.0077,0.0387,0.015,0.0632,0.0,0.126,0.0,0.0,0.0004
2020-02-03,1.62,0.0,0.0,0.0621,0.0,0.0,0.0022,0.1126,0.0072,0.0322,0.0206,0.0,0.0,0.0004,0.0,0.0163,0.0121,0.0051,0.0,0.131,0.0,0.0004,0.0018,0.0,0.0212,0.0,0.0002,0.0002,0.0007,0.0,0.0029,0.0,0.0016,0.0,0.0,0.0007,0.0,0.0011,0.0004,0.0,0.0,0.0159,0.0215,0.0042,0.0726,0.0,0.1247,0.0,0.0002,0.0002
2020-02-04,1.641,0.0,0.0,0.0738,0.0,0.0,0.0012,0.1017,0.0066,0.0306,0.0034,0.0,0.0,0.0002,0.0,0.0068,0.0066,0.0066,0.0,0.0941,0.0,0.0,0.002,0.0,0.0664,0.0,0.0,0.0064,0.0008,0.0,0.0,0.0002,0.002,0.0,0.0,0.0004,0.0,0.001,0.0,0.0006,0.0,0.0246,0.0252,0.029,0.0558,0.0,0.1859,0.0,0.0,0.0004
2020-02-05,1.6806,0.0,0.0,0.1088,0.0,0.0,0.0025,0.1086,0.0067,0.0325,0.007,0.0,0.0002,0.0002,0.0006,0.0039,0.0141,0.0059,0.0,0.0884,0.0,0.001,0.0002,0.0,0.0096,0.0,0.0,0.0016,0.002,0.0,0.0014,0.0,0.0002,0.0,0.0002,0.0147,0.0,0.0004,0.0002,0.001,0.0004,0.0096,0.0151,0.008,0.0559,0.0,0.6072,0.0,0.0002,0.0
2020-02-06,1.5488,0.0,0.0,0.073,0.0,0.0,0.0033,0.1003,0.0071,0.0262,0.0104,0.0,0.0,0.0004,0.0006,0.0012,0.0087,0.0039,0.0,0.0854,0.0,0.0012,0.0,0.0,0.0002,0.0,0.0002,0.0006,0.0047,0.0,0.0004,0.0002,0.0006,0.0,0.0,0.0002,0.0,0.0059,0.0002,0.0002,0.0004,0.0104,0.0529,0.0012,0.0899,0.0,0.1924,0.0,0.0002,0.0008
2020-02-07,1.7453,0.0,0.0,0.0728,0.0,0.0002,0.003,0.1156,0.0084,0.0259,0.0067,0.0,0.0,0.0004,0.0008,0.0004,0.0078,0.0046,0.0,0.0939,0.0,0.0011,0.0,0.0,0.0108,0.0,0.0,0.0,0.003,0.0,0.0015,0.0002,0.0004,0.0,0.0006,0.0002,0.0,0.0019,0.0,0.0002,0.0002,0.0059,0.0205,0.0008,0.061,0.0,0.3136,0.0,0.0004,0.0015
2020-02-08,1.4778,0.0,0.0,0.0489,0.0,0.0,0.0017,0.1614,0.0037,0.0174,0.0439,0.0003,0.0,0.0,0.0,0.0,0.0044,0.007,0.0,0.0784,0.0,0.001,0.0,0.0,0.0204,0.0,0.0,0.0,0.0037,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.001,0.0,0.0144,0.0298,0.0,0.0807,0.0,0.2126,0.0,0.0003,0.0
2020-02-09,1.2542,0.0,0.0,0.0542,0.0,0.0,0.0015,0.1326,0.0018,0.0435,0.0077,0.0,0.0,0.0,0.0,0.0011,0.0018,0.0037,0.0,0.0483,0.0,0.0004,0.0,0.0,0.0041,0.0,0.0,0.0,0.0066,0.0,0.0029,0.0,0.0004,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0354,0.0188,0.0,0.0803,0.0,0.1492,0.0,0.0,0.0026
2020-02-10,1.2603,0.0,0.0,0.1039,0.0,0.0,0.0019,0.122,0.0105,0.0204,0.003,0.0002,0.0,0.0,0.0004,0.0017,0.0039,0.0024,0.0,0.0693,0.0,0.0002,0.0006,0.0,0.0021,0.0,0.0,0.0,0.0101,0.0002,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0,0.0004,0.0002,0.0002,0.0,0.0137,0.0142,0.0,0.1797,0.0,0.1683,0.0,0.0002,0.0034
2020-02-11,1.47,0.1355,0.1355,0.065,0.1355,0.0,0.0032,0.1305,0.0034,0.0176,0.0028,0.0,0.0,0.0,0.0006,0.0301,0.0091,0.0006,0.0,0.0996,0.0008,0.0,0.001,0.0,0.0032,0.0,0.0004,0.0,0.0038,0.0018,0.0006,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0,0.02,0.0147,0.0012,0.1212,0.0008,0.2488,0.0,0.0004,0.0014
2020-02-12,1.3837,0.4361,0.4353,0.0569,0.4353,0.0,0.0033,0.1473,0.0053,0.0233,0.0025,0.0,0.0002,0.0004,0.0,0.0047,0.007,0.0012,0.0002,0.0786,0.0045,0.0006,0.0008,0.0,0.0002,0.0,0.0,0.0002,0.0055,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0004,0.0,0.0041,0.0153,0.001,0.169,0.0045,0.1557,0.0,0.0,0.0067
