datetime,omicron_intensity,brian laundrie_intensity,gabby petito_intensity,delta variant_intensity,vaccine mandate_intensity,shiba inu coin_intensity,dogecoin_intensity,marjorie taylor greene_intensity,johnson and johnson vaccine_intensity,capitol_intensity,deshaun watson_intensity,crypto_intensity,cardano_intensity,amc stock_intensity,taliban_intensity,afghanistan_intensity,afghanistan news_intensity,ethereum_intensity,justin fields_intensity,aaron rodgers_intensity,myanmar_intensity,covid vaccine_intensity,britney spears_intensity,ted cruz_intensity,vaccine_intensity,russell wilson_intensity,tiger woods_intensity,washington football team_intensity,gamestop_intensity,kyle rittenhouse_intensity,student loan forgiveness_intensity,bitcoin_intensity,bitcoin price_intensity,immigration news_intensity,phoenix suns_intensity,nba scores_intensity,ukraine_intensity,atlanta braves_intensity,knicks_intensity,elon musk_intensity,yankees_intensity,kim kardashian_intensity,israel_intensity,traductor_intensity,dodgers_intensity,chicago bears_intensity,ethiopia_intensity
2021-01-29,0.0005,0.0,0.0,0.0,0.0007,0.0002,0.0278,0.1822,0.0024,1.4125,0.0426,0.056,0.0002,0.0153,0.0543,0.1477,0.0,0.0122,0.0031,0.0101,0.0531,1.2596,0.012,0.1858,2.8742,0.0038,0.0045,0.0168,0.9047,0.005,0.0062,0.1149,0.0053,0.0022,0.0146,0.0002,0.108,0.0055,0.0132,0.1353,0.0208,0.0821,0.3926,0.0,0.0225,0.0132,0.0287
2021-01-30,0.0008,0.0,0.0,0.0,0.0,0.0,0.0098,0.1805,0.0071,1.6799,0.0282,0.0237,0.0,0.0071,0.0613,0.1109,0.0004,0.0075,0.0049,0.0117,0.0481,1.1805,0.006,0.0861,2.8115,0.0019,0.0008,0.0071,0.6036,0.0113,0.003,0.0921,0.0071,0.0041,0.0305,0.0,0.056,0.0053,0.0508,0.0801,0.0293,0.0459,0.1696,0.0,0.0425,0.0079,0.0478
2021-01-31,0.0,0.0,0.0,0.0,0.0004,0.0,0.0072,0.2084,0.0044,1.1597,0.031,0.0157,0.0008,0.0032,0.0909,0.1332,0.0,0.0048,0.0052,0.0121,0.0483,0.9689,0.004,0.0849,2.2449,0.0024,0.0004,0.006,0.4487,0.0008,0.0012,0.0282,0.002,0.0028,0.0249,0.0,0.0515,0.0056,0.0294,0.0427,0.0258,0.0089,0.2925,0.0,0.0958,0.008,0.0531
2021-02-01,0.0002,0.0,0.0,0.0,0.0007,0.0,0.012,0.0965,0.0025,0.9546,0.0204,0.0334,0.0007,0.0065,0.0461,0.0945,0.0,0.016,0.003,0.0643,0.6241,0.8315,0.0249,0.0429,2.1649,0.004,0.0047,0.0117,0.4706,0.0007,0.0042,0.0703,0.0032,0.0027,0.0047,0.0,0.077,0.007,0.0277,0.0705,0.0174,0.0219,0.395,0.0,0.0364,0.011,0.0219
2021-02-02,0.0005,0.0,0.0,0.0,0.0012,0.0,0.0049,0.1984,0.0169,1.3203,0.0146,0.0271,0.0014,0.0046,0.0554,0.1138,0.0002,0.0097,0.003,0.083,0.3659,0.9803,0.0273,0.076,2.6825,0.0032,0.0051,0.0158,0.4345,0.0019,0.0042,0.0498,0.0019,0.0021,0.0183,0.0,0.0723,0.0058,0.0234,0.1597,0.0313,0.0067,0.3446,0.0,0.0239,0.0107,0.0285
2021-02-03,0.0002,0.0,0.0,0.0,0.0016,0.0,0.0028,0.2797,0.0018,1.411,0.0143,0.0318,0.0005,0.0055,0.0766,0.1135,0.0002,0.0152,0.003,0.0909,0.263,1.1362,0.0395,0.0369,2.574,0.0106,0.0018,0.0074,0.314,0.027,0.0168,0.0558,0.0044,0.0014,0.0113,0.0002,0.0939,0.003,0.0088,0.1089,0.0362,0.0083,0.3597,0.0,0.0235,0.0152,0.0295
2021-02-04,0.001,0.0,0.0,0.0,0.0022,0.0,0.019,0.4326,0.001,1.6677,0.0128,0.0652,0.0005,0.0043,0.0566,0.084,0.0,0.0188,0.0029,0.0874,0.2966,1.0816,0.0137,0.0481,2.5232,0.0031,0.0014,0.0409,0.2768,0.0806,0.0185,0.0527,0.0041,0.0017,0.019,0.0,0.1596,0.0077,0.0205,0.0544,0.0147,0.0313,0.3904,0.0,0.0161,0.0277,0.0354
2021-02-05,0.0,0.0,0.0,0.0,0.0005,0.0,0.0097,0.4964,0.0044,1.5363,0.0141,0.0424,0.001,0.0027,0.0174,0.0921,0.0,0.0191,0.0039,0.0654,0.261,1.1357,0.0829,0.056,2.8407,0.0063,0.016,0.0167,0.2009,0.0276,0.0167,0.0686,0.0017,0.0024,0.0143,0.0,0.1049,0.0048,0.0095,0.0567,0.047,0.0092,0.5027,0.0,0.0414,0.0296,0.0279
2021-02-06,0.0008,0.0,0.0,0.0,0.0023,0.0,0.0039,0.1799,0.0046,1.6135,0.0065,0.0258,0.0004,0.0004,0.0235,0.1009,0.0,0.0054,0.0023,0.0354,0.3782,0.9113,0.0339,0.1183,2.3145,0.005,0.0081,0.0116,0.1044,0.0262,0.0065,0.0401,0.0042,0.0012,0.0374,0.0,0.1105,0.0104,0.0143,0.0304,0.0439,0.0081,0.2912,0.0,0.0689,0.0331,0.0223
2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.1743,0.0021,1.0913,0.0578,0.0193,0.0034,0.0008,0.0168,0.1588,0.0,0.0084,0.0034,0.2615,0.2619,0.5842,0.013,0.0725,1.5547,0.075,0.0038,0.1127,0.0666,0.0075,0.0038,0.0289,0.0034,0.0013,0.0117,0.0,0.1178,0.0017,0.0624,0.0398,0.0155,0.052,0.487,0.0,0.031,0.0159,0.0289
