date,hurricane dorian,jussie smollett,notre dame fire,mad cow,avengers endgame,isPartial,pete buttigieg,lori loughlin,cameron boyce,andrew yang,disney plus,isPartial,mad cow disease,nipsey hussle,jeffrey epstein,antonio brown,mueller report,isPartial,r kelly,biden,impeachment,joe biden,hong kong,isPartial,香港,boris johnson,kamala harris,game of thrones,bernie sanders,isPartial,wework,trump impeachment,notre dame,brexit,venezuela news,isPartial,huawei,kevin durant,melvin gordon,venezuela,ukraine,isPartial,climate change,recession,bryce harper,beto o'rourke,boeing,isPartial,michael jackson,phillies,news today,pakistan,shutdown,isPartial,iran news,earthquake,india,tottenham,iran,isPartial
2019-09-15,1,0,0,0,3,False,0,0,0,1,1,False,0,1,1,26,0,False,3,4,1,2,17,False,6,1,0,4,1,False,1,0,3,3,0,False,45,1,1,27,4,False,12,3,1,1,9,False,5,3,15,29,1,False,1,1,68,3,5,False
2019-09-22,1,0,0,0,2,False,0,0,1,1,1,False,0,1,1,14,0,False,4,10,20,4,17,False,5,3,0,4,1,False,1,2,4,4,0,False,46,1,2,29,11,False,17,3,1,0,9,False,5,2,16,35,2,False,0,4,63,2,3,False
2019-09-29,0,0,0,0,2,False,0,0,0,1,1,False,0,1,1,3,0,False,3,7,11,3,22,False,8,2,1,4,3,False,1,1,2,3,0,False,44,1,1,28,8,False,10,3,1,0,9,False,5,1,15,37,1,False,0,2,66,5,3,False
2019-10-06,0,0,0,0,2,False,0,0,0,0,1,False,0,1,1,2,0,False,2,5,7,2,25,False,7,1,0,3,1,False,0,1,2,4,0,False,43,1,0,31,6,False,9,3,1,0,9,False,5,1,15,41,4,False,0,1,92,1,3,False
2019-10-13,0,0,0,0,2,False,1,0,0,1,2,False,0,1,1,2,0,False,2,6,5,2,21,False,6,1,0,3,1,False,1,0,3,9,0,False,42,1,0,32,7,False,8,2,2,1,9,False,5,1,15,31,1,False,0,5,81,2,3,False
2019-10-20,0,0,0,0,2,False,0,1,0,0,2,False,0,1,1,2,0,False,2,2,5,1,19,False,5,1,0,4,1,False,1,0,2,7,0,False,41,1,0,31,4,False,7,2,1,0,11,False,5,1,17,29,1,False,0,1,78,2,2,False
2019-10-27,0,0,0,0,2,False,0,0,0,0,3,False,0,1,4,1,0,False,2,3,10,1,17,False,5,1,0,4,1,False,0,1,3,4,0,False,42,1,0,33,4,False,7,2,3,2,10,False,6,1,16,30,1,False,0,2,52,4,2,False
2019-11-03,0,0,0,0,2,False,0,0,0,0,4,False,0,1,5,2,0,False,2,2,5,1,18,False,5,1,0,3,1,False,0,0,2,2,0,False,42,1,0,33,5,False,8,2,0,1,9,False,5,1,17,51,1,False,0,2,80,5,2,False
2019-11-10,0,0,0,0,2,False,0,0,0,0,39,False,0,1,3,1,0,False,2,3,21,1,26,False,8,1,0,3,1,False,0,1,3,2,0,False,44,1,0,31,6,False,8,2,0,0,8,False,5,1,16,26,1,False,0,2,100,1,3,False
2019-11-17,0,0,0,0,2,False,1,0,0,1,20,False,0,1,5,2,0,False,1,5,24,2,28,False,8,1,0,4,1,False,1,1,2,2,0,False,49,1,0,34,7,False,8,2,0,0,9,False,5,1,15,49,2,False,0,2,80,5,4,False
2019-11-24,0,0,0,0,2,False,1,0,0,1,12,False,0,1,2,1,0,False,2,3,5,1,21,False,7,1,0,4,1,False,0,0,2,1,0,False,52,1,0,34,4,False,7,2,0,0,7,False,5,1,15,45,1,False,0,3,59,5,2,False
2019-12-01,0,0,0,0,1,False,1,0,0,1,9,False,0,1,2,2,0,False,2,6,11,3,17,False,5,1,2,4,1,False,0,1,2,1,0,False,46,1,0,29,4,False,8,2,0,0,8,False,5,1,15,39,1,False,0,2,66,6,2,False
2019-12-08,0,0,0,0,1,False,0,0,1,1,6,False,0,1,1,2,0,False,1,3,19,2,15,False,5,6,0,4,1,False,0,1,2,3,0,False,46,1,0,28,5,False,8,2,0,0,8,False,5,1,15,40,2,False,0,1,79,4,2,False
2019-12-15,0,0,0,0,2,False,1,0,0,1,8,False,0,1,1,1,0,False,1,4,100,2,16,False,5,3,0,4,1,False,0,9,2,2,0,False,48,1,0,32,5,False,6,2,0,0,15,False,5,1,19,52,3,False,0,3,99,3,2,False
2019-12-22,0,0,0,0,2,False,0,0,1,1,9,False,0,1,1,3,0,False,1,2,9,1,15,False,5,1,0,5,1,False,0,1,2,1,0,False,57,1,0,28,4,False,3,1,0,0,14,False,6,1,16,37,1,False,0,1,87,7,2,False
2019-12-29,0,0,0,0,2,False,0,0,1,1,7,False,0,1,1,2,0,False,4,3,5,1,17,False,5,1,0,5,1,False,0,1,2,1,0,False,49,1,0,26,4,False,5,1,0,0,9,False,6,1,16,30,1,False,3,2,61,3,24,False
